REG	ID	before	after	condenados2007	beforeratio	afterratio	ANIOS SIN	ANIOS CON
ARICA Y PARINACOTA	1	93.833333	213.4	1493	62.84885	142.9337	6	5
TARAPACÁ	2	75.666667	176.8	1454	52.04035	121.5956	6	5
ANTOFAGASTA	3	115.57143	309.5	1434	80.59374	215.8298	7	4
ATACAMA	4	58.5	84.4	467	125.2677	180.7281	6	5
COQUIMBO	5	147	217.22222	1468	100.1362	147.9715	2	9
VALPARAÍSO	6	225.83333	515	3364	67.13239	153.0916	6	5
METROPOLITANA	7	198.75	1209.2857	10064	19.74861	120.1596	4	7
DEL LIBERTADOR	8	128.42857	263.75	1619	79.32586	162.9092	7	4
MAULE	9	53.875	289.33333	1552	34.71327	186.4261	8	3
ÑUBLE	10	58.888889	117	685	85.96918	170.8029	9	2
BIO-BIO	11	167.5	379	2382	70.31906	159.11	4	7
LA ARAUCANÍA	12	215.42857	267.5	1389	155.0962	192.5846	7	4
LOS RÍOS	13	64.125	204.33333	697	92.00143	293.1612	8	3
LOS LAGOS	14	60	287.66667	1026	58.47953	280.3769	8	3
AYSEN	15	39.25	41	198	198.2323	207.0707	8	3
MAGALLANES	16	56.375	44.666667	308	183.0357	145.0217	8	3
